file_path,file_name,file_size,creation_time,modification_time,extension,num_sheets,image_width,image_height,dpi_x,dpi_y,exif_data
C:/Users/snarski/Desktop/manuscript_data\data_shiyes.xlsx,data_shiyes.xlsx,5764429,2024-10-22 12:30:39,2024-08-28 23:51:14,xlsx,1.0,,,,,
C:/Users/snarski/Desktop/manuscript_data\data_shiyes_upd.xlsx,data_shiyes_upd.xlsx,5764390,2024-10-26 10:54:08,2024-10-25 11:10:48,xlsx,1.0,,,,,
C:/Users/snarski/Desktop/manuscript_data\models_prot.png,models_prot.png,156498,2024-10-22 17:30:37,2024-10-26 11:56:26,png,,6000.0,4000.0,499.99899999999997,499.99899999999997,{}
C:/Users/snarski/Desktop/manuscript_data\models_ur.png,models_ur.png,167041,2024-10-22 16:57:55,2024-10-26 10:57:08,png,,6000.0,4000.0,499.99899999999997,499.99899999999997,{}
C:/Users/snarski/Desktop/manuscript_data\models_ur1.png,models_ur1.png,157202,2024-10-26 11:09:56,2024-10-26 11:56:11,png,,6000.0,4000.0,499.99899999999997,499.99899999999997,{}
C:/Users/snarski/Desktop/manuscript_data\shiyes_map.png,shiyes_map.png,167517,2024-10-22 19:21:30,2024-10-22 19:41:13,png,,4000.0,4000.0,499.99899999999997,499.99899999999997,{}
C:/Users/snarski/Desktop/manuscript_data\ЖД точки-плацебо Коноша - Архангельск.xlsx,ЖД точки-плацебо Коноша - Архангельск.xlsx,36180,2024-10-22 12:26:08,2024-08-05 19:50:30,xlsx,1.0,,,,,
C:/Users/snarski/Desktop/manuscript_data\Жд точки.xlsx,Жд точки.xlsx,37453,2024-10-22 12:26:08,2024-10-22 16:54:30,xlsx,1.0,,,,,
C:/Users/snarski/Desktop/manuscript_data\ЖД_точки_плацебо_Коноша_Архангельск.xlsx,ЖД_точки_плацебо_Коноша_Архангельск.xlsx,36180,2024-10-26 11:18:38,2024-10-22 16:54:30,xlsx,1.0,,,,,
C:/Users/snarski/Desktop/manuscript_data\Свалки.xlsx,Свалки.xlsx,8707,2024-10-22 12:26:08,2024-08-05 19:50:02,xlsx,1.0,,,,,
C:/Users/snarski/Desktop/manuscript_data\УИКи Архангельской области выборы в Государственную Думу 2016.xlsx,УИКи Архангельской области выборы в Государственную Думу 2016.xlsx,148422,2024-10-22 12:26:08,2024-08-05 19:49:18,xlsx,1.0,,,,,
C:/Users/snarski/Desktop/manuscript_data\УИКи Архангельской области выборы в Государственную Думу 2021.xlsx,УИКи Архангельской области выборы в Государственную Думу 2021.xlsx,149442,2024-10-22 12:26:08,2024-08-05 19:49:26,xlsx,1.0,,,,,
